fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,3.0,£3.40/unit,,,,,unit,Packed in United Kingdom; Caught in North-East Atlantic,,,,7253595,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-cod-fillets--boneless-250g,"Sainsbury's Cod Fillets, Boneless & Skinless 250g",28,,
,4.26,£2.50/unit,,,,,unit,"Produced in United Kingdom; Produced using Produced in the UK using haddock caught with hooks and lines in the North Sea, Barents Sea, Norwegian Sea or Iceland Grounds",,,,7442857,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-melting-middle-smoked-haddock-with-cheddar---leek-fishcakes--taste-the-difference-x2-290g,Sainsbury's Fishcakes Melting Middle Smoked Haddock with Cheddar & Leek Taste the Difference x2 290g,50,,
,3.7143,£2.60/unit,,,,,unit,Packed in United Kingdom,,,,7549868,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-king-prawns-155g,Sainsbury's King Prawns 150g,7,,
,3.4,£2.00/unit,,,,,unit,,,,,7317686,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-spicy-chorizo-ring-225g,Sainsbury's Spanish Chorizo Ring 225g,30,,
,4.1841,£6.15/unit,,,,,unit,Produced in United Kingdom; Produced using British chicken; Produced from British chicken,,,,7870766,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-chicken-fillets-1kg,Sainsbury's Chicken Breast Fillets 1kg,239,,
,2.5,£1.75/unit,,,,,unit,,,,,7103124,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-cooked-ham-120g,Sainsbury's British Cooked Ham 120g,2,,
,3.7619,£2.15/unit,,,,,unit,Produced in United Kingdom; Produced using British chicken,,,,410175,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-garlic-chicken-kievs-x2-260g,Sainsbury's Chicken Kiev Garlic x2 260g,21,,
,3.2222,£2.00/unit,,,,,unit,Produced in United Kingdom; Produced from British pork,,,,7554964,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-honey-roast-air-dried-lean-ham-finely-sliced--taste-the-difference-120g,"Sainsbury's Honey Roast Ham Air Dried Lean Finely Sliced, Taste the Difference 120g",9,,
,4.0,£3.90/unit,,,,,unit,Produced in United Kingdom,,,,7441195,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-chunky-cod--taste-the-difference-x2-350g,"Sainsbury's Breaded Chunky Cod, Taste the Difference x2 350g",28,,
,2.5,£1.65/unit,,,,,unit,Produced in United Kingdom; Produced using British Pork,,,,6025948,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-butchers-choice-cumberland-pork-sausages-x8-454g,Sainsbury's Butcher's Choice Cumberland Pork Sausages x8 454g,26,,
,4.3333,£0.80/unit,,,,,unit,Produced in United Kingdom; Produced from British pork,,,,7135683,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-cooked-ham-125g,Sainsbury's British Ham Slices x10 115g,3,,
,3.0,£2.70/unit,,,,,unit,Produced in United Kingdom. Produced using British Pork,,,,6402213,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-wiltshire-cured-ham--taste-the-difference-120g,"Sainsbury's British Breaded Wiltshire Cured Ham, Taste the Difference 120g",8,,
,3.4444,£2.70/unit,,,,,unit,Produced in United Kingdom; Produced from British Chicken,,,,7554737,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-butter-roast-chicken--taste-the-difference-120g,"Sainsbury's Cooked Chicken Slices Butter Roast, Taste the Difference 120g",9,,
,2.8,£2.00/unit,,,,,unit,Packed in United Kingdom; Produced using Argentinian or Brazilian beef,,,,7133500,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-corned-beef-200g,Sainsbury's Corned Beef 200g,15,,
,3.8,£1.75/unit,,,,,unit,Packed in United Kingdom,,,,1197037,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-smoked-bacon-medallions--be-good-to-yourself-200g,"Sainsbury's Smoked Bacon Medallions, Be Good To Yourself 200g",15,,
,4.1111,£3.00/unit,,,,,unit,Produced in United Kingdom. Produced using Freedom Foods Outdoor Bred British Pork,,,,7474626,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-ultimate-smoked-streaky-bacon--taste-the-difference-220g,"Sainsbury's Smoked Streaky Bacon, Taste the Difference 220g",27,,
,4.4286,£1.75/unit,,,,,unit,Produced in United Kingdom; Produced from British Beef,,,,7103183,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-roast-beef-slices-85g,Sainsbury's British Roast Beef Slices 85g,7,,
